Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,@,ORL,L,85,94,33,88,.375,9,34,.265,10,15,.667,10,54,20,8,2,16,15,,37,86,.430,9,30,.300,11,19,.579,7,46,24,12,4,13,18
2,2,2019-10-26,,IND,W,110,99,40,80,.500,11,31,.355,19,29,.655,12,44,23,9,7,18,20,,39,87,.448,10,28,.357,11,13,.846,6,36,23,7,3,17,25
3,3,2019-10-28,@,MIL,L,112,129,45,100,.450,12,39,.308,10,12,.833,10,48,19,2,3,11,22,,48,92,.522,17,38,.447,16,24,.667,8,50,29,9,7,12,15
4,4,2019-10-30,,CHI,W,117,111,41,78,.526,10,24,.417,25,31,.806,10,47,25,3,7,17,21,,39,90,.433,14,39,.359,19,23,.826,9,32,25,6,5,6,24
5,5,2019-11-01,@,IND,L,95,102,32,87,.368,11,32,.344,20,25,.800,3,45,20,9,1,16,21,,39,96,.406,5,27,.185,19,21,.905,13,58,20,8,10,13,24
6,6,2019-11-03,,DAL,L,111,131,39,96,.406,18,48,.375,15,22,.682,12,41,24,9,4,9,14,,50,94,.532,20,41,.488,11,13,.846,11,51,34,5,6,13,21
7,7,2019-11-05,,BOS,L,113,119,40,95,.421,13,33,.394,20,22,.909,11,43,22,3,6,9,18,,48,85,.565,12,30,.400,11,15,.733,4,45,24,5,12,14,23
8,8,2019-11-08,@,WAS,W,113,100,41,90,.456,6,27,.222,25,29,.862,17,48,18,10,5,12,17,,45,96,.469,7,31,.226,3,6,.500,17,47,26,5,5,18,24
9,9,2019-11-10,@,NYK,W,108,87,36,82,.439,8,28,.286,28,31,.903,9,45,20,11,2,14,19,,31,86,.360,9,31,.290,16,25,.640,17,52,19,11,8,21,26
10,10,2019-11-12,@,PHI,L,97,98,38,86,.442,5,21,.238,16,20,.800,9,45,13,10,0,13,13,,40,89,.449,8,38,.211,10,13,.769,11,46,24,8,8,14,20
11,11,2019-11-14,,MIA,L,97,108,36,85,.424,8,32,.250,17,21,.810,11,41,18,14,2,18,16,,43,79,.544,12,30,.400,10,11,.909,4,41,31,10,7,18,21
12,12,2019-11-17,,PHI,L,95,114,34,90,.378,6,25,.240,21,24,.875,11,42,14,9,5,14,21,,46,84,.548,9,23,.391,13,17,.765,4,44,33,6,11,13,22
13,13,2019-11-18,@,NYK,L,105,123,36,76,.474,17,36,.472,16,30,.533,10,41,18,2,1,19,26,,44,98,.449,8,23,.348,27,35,.771,19,47,17,8,10,7,24
14,14,2019-11-20,@,MIA,L,100,124,37,87,.425,12,38,.316,14,16,.875,10,34,19,13,2,19,23,,41,78,.526,19,37,.514,23,31,.742,12,44,25,8,5,23,20
15,15,2019-11-22,@,DAL,L,101,143,37,86,.430,12,29,.414,15,17,.882,8,34,23,3,3,10,15,,58,100,.580,20,37,.541,7,9,.778,10,49,31,8,7,5,18
16,16,2019-11-23,,POR,W,110,104,37,87,.425,10,31,.323,26,32,.813,9,52,19,9,2,13,14,,39,87,.448,14,40,.350,12,16,.750,6,38,21,6,6,10,20
17,17,2019-11-25,,BRK,L,106,108,40,94,.426,13,32,.406,13,20,.650,12,45,24,5,4,10,14,,44,94,.468,11,34,.324,9,11,.818,12,48,29,8,10,9,21
18,18,2019-11-27,,ORL,L,104,116,37,81,.457,11,34,.324,19,22,.864,12,49,20,5,0,25,15,,45,93,.484,12,33,.364,14,17,.824,6,34,23,13,6,11,22
19,19,2019-11-29,,MIL,L,110,119,44,88,.500,17,34,.500,5,10,.500,8,41,32,7,1,14,22,,45,88,.511,12,34,.353,17,23,.739,11,47,28,7,4,13,15
20,20,2019-12-03,,DET,L,94,127,38,90,.422,8,27,.296,10,14,.714,12,40,16,6,6,13,11,,51,94,.543,18,35,.514,7,11,.636,10,46,33,11,7,10,16
21,21,2019-12-06,,ORL,L,87,93,35,83,.422,10,34,.294,7,10,.700,10,45,22,9,7,16,19,,32,82,.390,9,26,.346,20,23,.870,10,43,19,10,9,17,13
22,22,2019-12-07,@,PHI,L,94,141,36,96,.375,9,35,.257,13,17,.765,11,35,20,4,0,17,17,,57,90,.633,11,26,.423,16,23,.696,10,51,43,13,8,8,16
23,23,2019-12-09,@,BOS,L,88,110,36,91,.396,7,31,.226,9,19,.474,18,45,18,8,2,18,11,,45,78,.577,15,27,.556,5,8,.625,5,39,22,8,9,18,19
24,24,2019-12-11,,HOU,L,110,116,46,89,.517,13,32,.406,5,8,.625,9,36,29,8,4,15,15,,43,87,.494,17,42,.405,13,13,1.000,11,36,18,10,6,13,14
25,25,2019-12-12,@,SAS,W,117,109,44,96,.458,15,45,.333,14,20,.700,11,50,22,6,3,18,22,,42,86,.488,5,16,.313,20,25,.800,2,36,19,11,7,12,21
