Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-24,@,DET,W,117,100,44,86,.512,11,31,.355,18,21,.857,8,42,27,9,2,13,15,,35,85,.412,10,37,.270,20,22,.909,9,39,20,6,5,13,20
2,2,2019-10-26,,ORL,W,103,99,43,84,.512,9,30,.300,8,15,.533,9,52,22,5,9,18,26,,35,99,.354,5,31,.161,24,26,.923,17,46,15,8,7,10,15
3,3,2019-10-28,,PHI,L,103,105,36,84,.429,9,27,.333,22,32,.688,8,45,23,12,3,21,25,,37,88,.420,11,41,.268,20,25,.800,12,49,22,12,11,21,29
4,4,2019-10-29,@,MIA,L,97,112,35,83,.422,11,39,.282,16,24,.667,9,33,28,14,7,20,29,,33,73,.452,13,31,.419,33,45,.733,13,49,19,11,6,26,22
5,5,2019-10-31,,MIA,L,97,106,36,88,.409,7,34,.206,18,26,.692,16,50,20,5,5,16,15,,40,84,.476,14,37,.378,12,19,.632,9,41,29,12,9,13,18
6,6,2019-11-05,,SAS,W,108,100,43,90,.478,11,30,.367,11,16,.688,9,48,22,9,5,18,20,,38,91,.418,8,33,.242,16,23,.696,11,41,18,9,8,15,17
7,7,2019-11-06,,CHI,L,93,113,30,74,.405,6,30,.200,27,35,.771,6,41,18,7,3,24,26,,41,82,.500,13,33,.394,18,27,.667,7,43,26,11,9,17,30
8,8,2019-11-08,,SAC,L,109,121,46,87,.529,9,28,.321,8,14,.571,11,34,23,8,6,12,19,,42,76,.553,18,31,.581,19,22,.864,9,36,27,7,7,14,19
9,9,2019-11-10,@,POR,L,113,124,42,104,.404,11,41,.268,18,25,.720,11,48,21,11,8,16,26,,45,104,.433,12,36,.333,22,28,.786,16,61,19,10,9,17,22
10,10,2019-11-12,@,DEN,W,125,121,44,83,.530,15,34,.441,22,34,.647,10,45,30,1,5,14,21,,46,104,.442,11,41,.268,18,22,.818,15,40,31,7,5,3,24
11,11,2019-11-14,@,PHO,L,112,128,40,91,.440,8,31,.258,24,30,.800,15,49,25,15,5,22,31,,41,85,.482,15,39,.385,31,38,.816,7,39,32,6,2,20,24
12,12,2019-11-16,@,LAC,L,101,150,34,90,.378,6,24,.250,27,37,.730,14,38,19,11,10,19,27,,50,93,.538,17,33,.515,33,35,.943,12,53,30,10,12,19,28
13,13,2019-11-17,@,LAL,L,101,122,37,86,.430,8,28,.286,19,25,.760,9,37,16,11,2,18,19,,47,89,.528,15,35,.429,13,16,.813,10,42,26,10,14,16,19
14,14,2019-11-20,,MIL,L,127,135,44,96,.458,14,31,.452,25,31,.806,9,43,27,8,2,13,26,,46,87,.529,17,43,.395,26,34,.765,8,46,25,6,8,19,25
15,15,2019-11-22,@,DET,L,103,128,38,88,.432,10,37,.270,17,17,1.000,10,34,26,12,2,19,18,,49,82,.598,17,34,.500,13,20,.650,12,42,30,13,10,18,17
16,16,2019-11-23,,TOR,L,116,119,47,90,.522,14,34,.412,8,11,.727,8,38,32,9,7,15,27,,40,88,.455,13,37,.351,26,30,.867,12,42,22,5,5,15,16
17,17,2019-11-25,,MIN,L,113,125,41,94,.436,10,32,.313,21,26,.808,9,42,26,6,4,17,25,,41,90,.456,15,35,.429,28,36,.778,14,47,27,10,6,13,25
18,18,2019-11-27,@,MIL,L,102,111,38,94,.404,11,34,.324,15,22,.682,14,49,22,4,5,17,25,,42,88,.477,10,34,.294,17,27,.630,10,47,25,6,11,14,23
19,19,2019-11-29,@,IND,L,104,105,39,90,.433,9,32,.281,17,18,.944,10,48,14,10,3,24,27,,39,92,.424,6,26,.231,21,28,.750,9,42,19,12,6,15,20
20,20,2019-11-30,@,HOU,L,111,158,38,89,.427,15,46,.326,20,25,.800,8,29,26,5,2,13,23,,52,89,.584,25,51,.490,29,34,.853,13,52,30,9,2,15,23
21,21,2019-12-02,,GSW,W,104,79,41,89,.461,8,29,.276,14,15,.933,11,38,21,13,4,14,12,,33,83,.398,3,17,.176,10,12,.833,18,46,17,11,8,23,20
22,22,2019-12-04,,BRK,L,118,130,48,90,.533,9,26,.346,13,21,.619,9,35,24,8,9,16,19,,50,101,.495,14,31,.452,16,18,.889,18,53,26,8,6,15,20
23,23,2019-12-08,@,CHO,W,122,107,44,91,.484,18,45,.400,16,17,.941,11,48,28,8,8,13,24,,36,90,.400,11,31,.355,24,29,.828,13,44,22,8,3,11,17
24,24,2019-12-10,@,MIA,L,121,135,45,95,.474,20,54,.370,11,18,.611,4,37,30,4,6,11,23,,53,103,.515,14,41,.341,15,22,.682,9,53,35,5,3,11,17
25,25,2019-12-11,@,CHI,L,102,136,35,83,.422,13,38,.342,19,26,.731,10,41,26,7,5,23,20,,54,94,.574,11,24,.458,17,19,.895,7,42,32,15,7,13,25
