Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,,MEM,W,120,101,40,85,.471,7,18,.389,33,39,.846,11,51,18,9,8,21,33,,38,89,.427,5,32,.156,20,30,.667,9,40,22,9,7,24,31
2,2,2019-10-26,@,MIL,W,131,126,46,101,.455,16,44,.364,23,36,.639,8,54,33,7,3,16,30,,41,94,.436,17,54,.315,27,35,.771,5,47,22,8,4,18,32
3,3,2019-10-27,@,MIN,L,109,116,42,85,.494,15,36,.417,10,15,.667,7,41,25,7,9,21,23,,39,91,.429,13,45,.289,25,33,.758,14,46,24,12,1,16,17
4,4,2019-10-29,,ATL,W,112,97,33,73,.452,13,31,.419,33,45,.733,13,49,19,11,6,26,22,,35,83,.422,11,39,.282,16,24,.667,9,33,28,14,7,20,29
5,5,2019-10-31,@,ATL,W,106,97,40,84,.476,14,37,.378,12,19,.632,9,41,29,12,9,13,18,,36,88,.409,7,34,.206,18,26,.692,16,50,20,5,5,16,15
6,6,2019-11-03,,HOU,W,129,100,47,89,.528,18,41,.439,17,22,.773,5,46,38,14,7,15,21,,31,79,.392,14,48,.292,24,31,.774,4,38,19,6,5,22,24
7,7,2019-11-05,@,DEN,L,89,109,32,88,.364,9,29,.310,16,25,.640,13,44,23,12,5,13,21,,45,86,.523,9,23,.391,10,16,.625,9,47,35,10,3,19,21
8,8,2019-11-07,@,PHO,W,124,108,45,82,.549,15,28,.536,19,24,.792,5,41,22,9,5,13,28,,37,84,.440,11,32,.344,23,31,.742,10,40,22,4,3,14,21
9,9,2019-11-08,@,LAL,L,80,95,28,80,.350,6,35,.171,18,24,.750,8,37,18,9,2,12,12,,40,89,.449,8,32,.250,7,8,.875,10,48,30,6,5,18,24
10,10,2019-11-12,,DET,W,117,108,41,77,.532,14,32,.438,21,27,.778,8,42,34,6,1,19,30,,34,78,.436,15,41,.366,25,37,.676,8,32,27,9,9,16,28
11,11,2019-11-14,@,CLE,W,108,97,43,79,.544,12,30,.400,10,11,.909,4,41,31,10,7,18,21,,36,85,.424,8,32,.250,17,21,.810,11,41,18,14,2,18,16
12,12,2019-11-16,,NOP,W,109,94,44,81,.543,9,24,.375,12,13,.923,9,45,25,13,3,20,6,,37,82,.451,16,35,.457,4,6,.667,7,31,23,10,2,18,16
13,13,2019-11-20,,CLE,W,124,100,41,78,.526,19,37,.514,23,31,.742,12,44,25,8,5,23,20,,37,87,.425,12,38,.316,14,16,.875,10,34,19,13,2,19,23
14,14,2019-11-22,@,CHI,W,116,108,39,79,.494,14,38,.368,24,28,.857,9,44,33,10,3,19,17,,41,90,.456,10,30,.333,16,20,.800,14,41,23,11,3,13,24
15,15,2019-11-23,@,PHI,L,86,113,30,75,.400,6,24,.250,20,27,.741,9,38,12,6,4,17,16,,42,83,.506,14,29,.483,15,17,.882,8,44,28,11,2,14,27
16,16,2019-11-25,,CHO,W,117,100,40,77,.519,13,31,.419,24,28,.857,8,49,29,9,3,18,23,,36,87,.414,9,33,.273,19,25,.760,10,35,25,11,0,13,24
17,17,2019-11-27,@,HOU,L,108,117,37,80,.463,14,37,.378,20,27,.741,8,41,22,8,3,18,24,,38,83,.458,15,44,.341,26,33,.788,9,43,19,11,2,15,22
18,18,2019-11-29,,GSW,W,122,105,44,82,.537,13,25,.520,21,28,.750,10,49,23,7,3,15,30,,30,77,.390,10,28,.357,35,40,.875,5,31,19,4,3,9,23
19,19,2019-12-01,@,BRK,W,109,106,37,95,.389,12,37,.324,23,28,.821,16,51,16,3,2,9,17,,40,91,.440,14,42,.333,12,16,.750,9,48,24,3,5,12,21
20,20,2019-12-03,@,TOR,W,121,110,45,99,.455,15,38,.395,16,21,.762,10,55,29,4,7,11,27,,35,91,.385,11,43,.256,29,36,.806,9,48,25,5,4,11,20
21,21,2019-12-04,@,BOS,L,93,112,34,77,.442,14,38,.368,11,17,.647,8,40,20,7,2,18,25,,35,79,.443,16,41,.390,26,32,.813,10,46,21,8,8,10,20
22,22,2019-12-06,,WAS,W,112,103,42,86,.488,10,28,.357,18,24,.750,11,50,28,6,7,12,13,,39,91,.429,12,39,.308,13,14,.929,9,39,29,6,4,11,20
23,23,2019-12-08,,CHI,W,110,105,32,77,.416,11,35,.314,35,44,.795,10,43,20,9,2,17,23,,35,80,.438,13,36,.361,22,27,.815,6,39,20,8,1,14,31
24,24,2019-12-10,,ATL,W,135,121,53,103,.515,14,41,.341,15,22,.682,9,53,35,5,3,11,17,,45,95,.474,20,54,.370,11,18,.611,4,37,30,4,6,11,23
