Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,,CHI,W,126,125,45,88,.511,23,44,.523,13,16,.813,9,41,28,3,4,19,18,,49,105,.467,9,30,.300,18,22,.818,20,49,25,11,4,10,20
2,2,2019-10-25,,MIN,L,99,121,37,84,.440,12,29,.414,13,26,.500,9,42,26,6,5,19,29,,43,91,.473,12,38,.316,23,31,.742,13,52,30,11,6,15,21
3,3,2019-10-27,@,LAL,L,101,120,35,91,.385,10,35,.286,21,23,.913,13,45,19,7,4,14,20,,49,93,.527,11,31,.355,11,14,.786,10,47,30,7,8,13,22
4,4,2019-10-28,@,LAC,L,96,111,36,83,.434,14,39,.359,10,14,.714,9,38,24,5,3,21,23,,40,83,.482,12,33,.364,19,21,.905,9,44,23,11,8,21,24
5,5,2019-10-30,@,SAC,W,118,111,46,84,.548,16,32,.500,10,14,.714,10,46,30,8,3,20,17,,44,96,.458,14,46,.304,9,12,.750,10,39,26,11,5,15,19
6,6,2019-11-02,@,GSW,W,93,87,36,85,.424,5,29,.172,16,23,.696,16,48,18,6,1,12,15,,34,77,.442,9,28,.321,10,13,.769,5,40,23,5,5,18,22
7,7,2019-11-05,,IND,W,122,120,42,88,.477,10,31,.323,28,42,.667,10,37,22,7,4,13,17,,51,94,.543,12,30,.400,6,7,.857,7,43,27,5,7,18,34
8,8,2019-11-07,,BOS,L,87,108,33,86,.384,6,31,.194,15,21,.714,9,49,21,7,9,20,19,,40,93,.430,10,33,.303,18,23,.783,11,52,29,13,5,12,19
9,9,2019-11-09,,NOP,L,110,115,36,88,.409,12,35,.343,26,34,.765,13,42,27,10,2,21,27,,40,75,.533,14,33,.424,21,30,.700,9,45,25,13,6,26,28
10,10,2019-11-10,@,PHI,L,106,114,38,84,.452,14,33,.424,16,22,.727,6,31,22,9,1,13,19,,46,84,.548,10,28,.357,12,16,.750,10,49,29,9,5,20,16
11,11,2019-11-13,,MEM,L,117,119,43,87,.494,16,36,.444,15,19,.789,7,34,27,8,5,15,12,,48,89,.539,17,35,.486,6,9,.667,11,45,32,9,5,23,21
12,12,2019-11-15,,DET,W,109,106,43,96,.448,13,35,.371,10,16,.625,14,41,22,10,3,10,17,,40,81,.494,15,35,.429,11,11,1.000,7,42,25,3,3,19,19
13,13,2019-11-16,@,NYK,W,103,102,36,87,.414,17,48,.354,14,19,.737,12,42,22,5,3,10,18,,39,86,.453,6,20,.300,18,23,.783,13,48,22,5,1,11,21
14,14,2019-11-18,@,TOR,L,96,132,33,78,.423,15,45,.333,15,24,.625,9,37,26,3,8,19,19,,50,97,.515,20,43,.465,12,15,.800,16,53,40,13,2,10,25
15,15,2019-11-20,@,BRK,L,91,101,30,81,.370,11,33,.333,20,26,.769,8,41,17,8,3,16,23,,36,90,.400,10,39,.256,19,23,.826,13,53,19,11,1,15,21
16,16,2019-11-22,@,WAS,L,118,125,48,93,.516,14,34,.412,8,8,1.000,7,44,24,9,5,16,18,,48,91,.527,14,34,.412,15,20,.750,6,41,34,10,3,11,13
17,17,2019-11-23,,CHI,L,115,116,44,80,.550,12,28,.429,15,22,.682,10,43,26,5,7,19,17,,43,95,.453,22,47,.468,8,12,.667,13,39,27,12,3,13,20
18,18,2019-11-25,@,MIA,L,100,117,36,87,.414,9,33,.273,19,25,.760,10,35,25,11,0,13,24,,40,77,.519,13,31,.419,24,28,.857,8,49,29,9,3,18,23
19,19,2019-11-27,,DET,W,102,101,39,88,.443,7,30,.233,17,20,.850,10,41,27,3,7,3,18,,41,88,.466,10,32,.313,9,15,.600,9,46,23,2,2,8,18
20,20,2019-11-29,@,DET,W,110,107,40,83,.482,19,38,.500,11,15,.733,11,37,26,8,6,10,17,,41,83,.494,15,35,.429,10,20,.500,14,45,27,5,4,13,16
21,21,2019-11-30,@,MIL,L,96,137,37,101,.366,15,45,.333,7,8,.875,15,53,21,4,1,12,18,,54,96,.563,20,44,.455,9,15,.600,7,53,41,7,3,7,13
22,22,2019-12-02,,PHO,L,104,109,38,84,.452,7,25,.280,21,26,.808,14,53,27,4,7,19,23,,39,88,.443,9,42,.214,22,30,.733,9,37,30,12,7,7,21
23,23,2019-12-04,,GSW,W,106,91,40,87,.460,21,48,.438,5,8,.625,11,44,30,11,7,13,20,,36,78,.462,9,23,.391,10,15,.667,6,37,18,7,3,16,12
24,24,2019-12-06,,BRK,L,104,111,36,83,.434,17,40,.425,15,17,.882,10,34,23,6,6,19,16,,42,88,.477,15,38,.395,12,15,.800,15,49,35,12,5,16,21
25,25,2019-12-08,,ATL,L,107,122,36,90,.400,11,31,.355,24,29,.828,13,44,22,8,3,11,17,,44,91,.484,18,45,.400,16,17,.941,11,48,28,8,8,13,24
26,26,2019-12-10,,WAS,W,114,107,38,85,.447,16,41,.390,22,28,.786,11,48,22,4,4,13,26,,38,90,.422,11,35,.314,20,25,.800,13,45,27,7,7,10,24
27,27,2019-12-11,@,BRK,W,113,108,36,88,.409,15,35,.429,26,32,.813,15,47,20,2,6,8,23,,38,88,.432,10,38,.263,22,33,.667,17,52,20,5,3,12,21
