Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,@,SAS,L,111,120,44,94,.468,10,30,.333,13,18,.722,5,39,24,16,1,14,32,,42,83,.506,7,21,.333,29,36,.806,10,51,22,6,5,21,18
2,2,2019-10-25,@,BRK,L,109,113,38,81,.469,17,25,.680,16,28,.571,9,39,17,14,4,26,31,,37,78,.474,16,37,.432,23,34,.676,11,46,21,11,2,26,26
3,3,2019-10-26,,BOS,L,95,118,31,82,.378,7,27,.259,26,34,.765,16,55,15,7,4,23,26,,42,93,.452,15,41,.366,19,29,.655,13,46,24,14,9,12,26
4,4,2019-10-28,,CHI,W,105,98,38,91,.418,9,29,.310,20,32,.625,25,63,19,3,6,17,19,,36,85,.424,9,35,.257,17,21,.810,8,38,19,6,5,9,22
5,5,2019-10-30,@,ORL,L,83,95,31,82,.378,7,31,.226,14,20,.700,10,44,19,1,10,11,15,,37,88,.420,12,32,.375,9,12,.750,14,52,24,5,6,7,17
6,6,2019-11-01,@,BOS,L,102,104,37,93,.398,14,38,.368,14,21,.667,16,51,22,9,4,13,23,,33,74,.446,11,34,.324,27,29,.931,3,44,21,7,4,14,16
7,7,2019-11-03,,SAC,L,92,113,32,80,.400,8,31,.258,20,31,.645,9,38,18,6,5,13,23,,41,85,.482,15,39,.385,16,25,.640,10,50,25,7,5,14,29
8,8,2019-11-06,@,DET,L,102,122,39,80,.488,11,25,.440,13,21,.619,5,30,24,9,4,13,20,,44,79,.557,15,30,.500,19,24,.792,8,43,37,7,1,16,17
9,9,2019-11-08,@,DAL,W,106,102,37,89,.416,14,28,.500,18,31,.581,14,56,19,9,3,12,20,,37,90,.411,14,44,.318,14,17,.824,7,47,18,4,6,13,21
10,10,2019-11-10,,CLE,L,87,108,31,86,.360,9,31,.290,16,25,.640,17,52,19,11,8,21,26,,36,82,.439,8,28,.286,28,31,.903,9,45,20,11,2,14,19
11,11,2019-11-12,@,CHI,L,102,120,36,88,.409,10,32,.313,20,31,.645,13,38,27,12,1,18,28,,41,81,.506,14,33,.424,24,31,.774,9,46,22,9,2,19,25
12,12,2019-11-14,,DAL,W,106,103,42,94,.447,13,30,.433,9,11,.818,15,53,20,6,2,15,27,,36,84,.429,8,36,.222,23,31,.742,12,44,21,8,7,11,16
13,13,2019-11-16,,CHO,L,102,103,39,86,.453,6,20,.300,18,23,.783,13,48,22,5,1,11,21,,36,87,.414,17,48,.354,14,19,.737,12,42,22,5,3,10,18
14,14,2019-11-18,,CLE,W,123,105,44,98,.449,8,23,.348,27,35,.771,19,47,17,8,10,7,24,,36,76,.474,17,36,.472,16,30,.533,10,41,18,2,1,19,26
15,15,2019-11-20,@,PHI,L,104,109,40,84,.476,13,25,.520,11,15,.733,7,42,17,8,6,14,25,,39,89,.438,13,32,.406,18,26,.692,10,44,30,5,5,10,14
16,16,2019-11-23,,SAS,L,104,111,40,93,.430,15,40,.375,9,15,.600,10,37,30,12,3,11,22,,40,75,.533,12,23,.522,19,28,.679,9,47,26,7,3,22,17
17,17,2019-11-24,,BRK,L,101,103,37,80,.463,18,35,.514,9,16,.563,9,43,22,6,4,16,29,,31,77,.403,14,38,.368,27,34,.794,7,35,18,6,1,11,16
18,18,2019-11-27,@,TOR,L,98,126,33,88,.375,12,41,.293,20,24,.833,15,45,19,6,4,18,17,,46,94,.489,21,41,.512,13,17,.765,17,52,26,6,4,12,18
19,19,2019-11-29,,PHI,L,95,101,34,78,.436,8,20,.400,19,33,.576,9,37,14,5,4,14,33,,31,72,.431,7,26,.269,32,40,.800,8,46,22,5,10,16,23
20,20,2019-12-01,,BOS,L,104,113,35,76,.461,8,26,.308,26,37,.703,8,39,15,7,6,14,25,,41,93,.441,15,41,.366,16,22,.727,16,44,25,5,7,13,28
21,21,2019-12-02,@,MIL,L,88,132,28,91,.308,10,39,.256,22,33,.667,14,42,13,4,7,10,21,,48,86,.558,16,35,.457,20,32,.625,10,57,30,7,4,13,23
22,22,2019-12-05,,DEN,L,92,129,34,83,.410,9,34,.265,15,23,.652,5,33,23,9,7,14,16,,49,87,.563,21,39,.538,10,18,.556,9,48,38,8,5,13,19
23,23,2019-12-07,,IND,L,103,104,39,96,.406,10,31,.323,15,21,.714,15,52,24,11,6,11,14,,41,85,.482,12,28,.429,10,13,.769,5,42,26,7,9,16,17
24,24,2019-12-10,@,POR,L,87,115,32,91,.352,7,38,.184,16,26,.615,11,47,16,5,3,11,18,,39,90,.433,17,41,.415,20,24,.833,11,58,20,6,7,12,21
25,25,2019-12-11,@,GSW,W,124,122,43,90,.478,12,29,.414,26,34,.765,12,58,25,5,7,18,24,,45,104,.433,10,37,.270,22,30,.733,14,46,27,10,6,8,25
