Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-22,@,LAC,L,102,112,37,85,.435,13,33,.394,15,21,.714,9,41,20,4,7,14,24,,42,81,.519,11,31,.355,17,24,.708,11,45,24,8,5,14,25
2,2,2019-10-25,,UTA,W,95,86,34,86,.395,8,26,.308,19,24,.792,11,42,19,14,9,14,21,,29,70,.414,8,25,.320,20,21,.952,3,40,19,8,2,22,25
3,3,2019-10-27,,CHO,W,120,101,49,93,.527,11,31,.355,11,14,.786,10,47,30,7,8,13,22,,35,91,.385,10,35,.286,21,23,.913,13,45,19,7,4,14,20
4,4,2019-10-29,,MEM,W,120,91,40,86,.465,7,26,.269,33,39,.846,10,54,25,9,8,18,19,,31,95,.326,7,34,.206,22,23,.957,13,46,20,10,3,21,27
5,5,2019-11-01,@,DAL,W,119,110,47,96,.490,9,32,.281,16,21,.762,6,41,24,11,7,11,21,,40,102,.392,14,36,.389,16,23,.696,18,61,23,5,1,22,21
6,6,2019-11-03,@,SAS,W,103,96,42,87,.483,6,24,.250,13,19,.684,7,46,21,8,10,18,22,,33,83,.398,6,25,.240,24,29,.828,8,47,23,11,4,17,18
7,7,2019-11-05,@,CHI,W,118,112,45,92,.489,11,33,.333,17,24,.708,12,49,26,10,10,15,18,,43,85,.506,14,32,.438,12,23,.522,7,42,22,11,4,16,21
8,8,2019-11-08,,MIA,W,95,80,40,89,.449,8,32,.250,7,8,.875,10,48,30,6,5,18,24,,28,80,.350,6,35,.171,18,24,.750,8,37,18,9,2,12,12
9,9,2019-11-10,,TOR,L,104,113,41,94,.436,10,30,.333,12,19,.632,13,51,31,6,7,12,20,,43,89,.483,12,36,.333,15,22,.682,7,43,26,6,8,13,17
10,10,2019-11-12,@,PHO,W,123,115,51,95,.537,10,25,.400,11,21,.524,8,44,39,4,4,9,21,,43,91,.473,16,38,.421,13,17,.765,6,39,32,3,4,11,22
11,11,2019-11-13,,GSW,W,120,94,48,89,.539,9,20,.450,15,18,.833,13,51,31,8,6,19,18,,36,89,.404,9,35,.257,13,17,.765,10,33,29,8,7,17,14
12,12,2019-11-15,,SAC,W,99,97,34,81,.420,11,37,.297,20,22,.909,10,41,22,11,6,13,18,,36,82,.439,16,39,.410,9,9,1.000,10,43,24,7,0,17,22
13,13,2019-11-17,,ATL,W,122,101,47,89,.528,15,35,.429,13,16,.813,10,42,26,10,14,16,19,,37,86,.430,8,28,.286,19,25,.760,9,37,16,11,2,18,19
14,14,2019-11-19,,OKC,W,112,107,43,89,.483,14,31,.452,12,19,.632,14,46,29,9,8,16,20,,38,80,.475,9,28,.321,22,25,.880,8,39,22,10,2,15,22
15,15,2019-11-22,@,OKC,W,130,127,45,88,.511,17,31,.548,23,29,.793,11,45,32,7,6,15,20,,49,93,.527,11,31,.355,18,20,.900,6,37,28,8,3,11,23
16,16,2019-11-23,@,MEM,W,109,108,38,84,.452,13,39,.333,20,29,.690,11,40,19,12,7,16,14,,43,89,.483,14,30,.467,8,13,.615,12,47,28,12,3,19,19
17,17,2019-11-25,@,SAS,W,114,104,44,89,.494,14,33,.424,12,18,.667,10,40,28,7,6,9,18,,41,88,.466,10,25,.400,12,15,.800,9,41,23,4,5,13,22
18,18,2019-11-27,@,NOP,W,114,110,44,85,.518,8,24,.333,18,25,.720,7,37,25,9,6,15,24,,34,84,.405,17,40,.425,25,30,.833,13,42,20,7,4,19,23
19,19,2019-11-29,,WAS,W,125,103,45,87,.517,14,32,.438,21,28,.750,7,47,29,9,8,18,20,,38,96,.396,10,37,.270,17,19,.895,13,45,25,10,2,17,23
20,20,2019-12-01,,DAL,L,100,114,40,87,.460,7,27,.259,13,16,.813,9,45,25,9,3,17,14,,42,97,.433,17,49,.347,13,18,.722,16,51,24,11,1,13,20
21,21,2019-12-03,@,DEN,W,105,96,39,84,.464,7,24,.292,20,30,.667,14,56,24,8,5,16,23,,37,91,.407,6,29,.207,16,17,.941,7,35,26,9,4,11,25
22,22,2019-12-04,@,UTA,W,121,96,46,90,.511,14,29,.483,15,25,.600,8,46,27,13,12,7,17,,34,83,.410,14,31,.452,14,19,.737,8,40,20,3,3,18,24
23,23,2019-12-06,@,POR,W,136,113,46,85,.541,17,36,.472,27,33,.818,3,45,26,10,8,16,23,,39,86,.453,10,34,.294,25,29,.862,4,34,20,9,4,15,25
24,24,2019-12-08,,MIN,W,142,125,55,94,.585,14,31,.452,18,20,.900,10,41,32,9,1,10,19,,44,84,.524,15,37,.405,22,26,.846,6,31,27,5,6,15,18
25,25,2019-12-11,@,ORL,W,96,87,37,87,.425,12,31,.387,10,19,.526,12,49,20,10,4,13,17,,34,81,.420,8,26,.308,11,17,.647,8,41,20,10,5,14,17
