Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-22,,NOP,W,130,122,42,103,.408,14,40,.350,32,38,.842,16,57,23,7,3,16,24,,43,102,.422,19,45,.422,17,20,.850,16,53,30,4,9,19,34
2,2,2019-10-25,@,BOS,L,106,112,37,78,.474,18,36,.500,14,17,.824,5,46,22,2,6,23,28,,42,109,.385,13,38,.342,15,16,.938,21,56,21,10,8,9,20
3,3,2019-10-26,@,CHI,W,108,84,38,82,.463,15,42,.357,17,18,.944,10,59,27,9,12,22,25,,29,97,.299,9,35,.257,17,25,.680,12,45,18,9,2,15,22
4,4,2019-10-28,,ORL,W,104,95,33,85,.388,10,39,.256,28,30,.933,6,52,19,9,2,16,20,,34,89,.382,12,39,.308,15,18,.833,8,47,22,9,6,16,20
5,5,2019-10-30,,DET,W,125,113,51,86,.593,13,27,.481,10,12,.833,3,34,30,12,2,14,22,,41,88,.466,14,30,.467,17,23,.739,11,42,30,5,1,20,15
6,6,2019-11-02,@,MIL,L,105,115,34,84,.405,15,36,.417,22,25,.880,7,42,24,5,6,13,22,,41,89,.461,13,38,.342,20,25,.800,10,51,30,4,7,11,22
7,7,2019-11-06,,SAC,W,124,120,43,78,.551,14,29,.483,24,29,.828,2,37,28,10,4,14,20,,42,95,.442,20,44,.455,16,21,.762,12,43,23,8,7,14,23
8,8,2019-11-08,@,NOP,W,122,104,41,93,.441,19,43,.442,21,24,.875,10,53,27,9,3,17,24,,40,99,.404,10,41,.244,14,21,.667,14,53,21,7,6,18,23
9,9,2019-11-10,@,LAL,W,113,104,43,89,.483,12,36,.333,15,22,.682,7,43,26,6,8,13,17,,41,94,.436,10,30,.333,12,19,.632,13,51,31,6,7,12,20
10,10,2019-11-11,@,LAC,L,88,98,34,85,.400,11,30,.367,9,15,.600,5,38,25,9,8,15,24,,34,92,.370,8,36,.222,22,30,.733,20,66,25,9,7,19,21
11,11,2019-11-13,@,POR,W,114,106,42,92,.457,14,32,.438,16,17,.941,14,50,20,4,9,12,20,,38,96,.396,17,48,.354,13,16,.813,11,43,24,3,7,12,16
12,12,2019-11-16,@,DAL,L,102,110,37,89,.416,17,41,.415,11,15,.733,7,42,21,7,2,14,20,,37,88,.420,9,39,.231,27,33,.818,12,55,24,7,4,12,15
13,13,2019-11-18,,CHO,W,132,96,50,97,.515,20,43,.465,12,15,.800,16,53,40,13,2,10,25,,33,78,.423,15,45,.333,15,24,.625,9,37,26,3,8,19,19
14,14,2019-11-20,,ORL,W,113,97,45,87,.517,9,27,.333,14,19,.737,10,47,26,5,5,11,21,,35,91,.385,9,32,.281,18,28,.643,16,43,26,9,8,11,16
15,15,2019-11-23,@,ATL,W,119,116,40,88,.455,13,37,.351,26,30,.867,12,42,22,5,5,15,16,,47,90,.522,14,34,.412,8,11,.727,8,38,32,9,7,15,27
16,16,2019-11-25,,PHI,W,101,96,38,84,.452,11,34,.324,14,22,.636,8,40,27,5,5,10,18,,36,88,.409,15,40,.375,9,16,.563,14,51,25,7,3,16,20
17,17,2019-11-27,,NYK,W,126,98,46,94,.489,21,41,.512,13,17,.765,17,52,26,6,4,12,18,,33,88,.375,12,41,.293,20,24,.833,15,45,19,6,4,18,17
18,18,2019-11-29,@,ORL,W,90,83,31,84,.369,11,38,.289,17,28,.607,11,46,21,16,4,13,20,,27,78,.346,7,29,.241,22,27,.815,13,52,17,10,11,22,19
19,19,2019-12-01,,UTA,W,130,110,47,90,.522,19,36,.528,17,21,.810,7,43,36,14,8,14,24,,38,90,.422,13,35,.371,21,29,.724,15,51,21,5,3,18,17
20,20,2019-12-03,,MIA,L,110,121,35,91,.385,11,43,.256,29,36,.806,9,48,25,5,4,11,20,,45,99,.455,15,38,.395,16,21,.762,10,55,29,4,7,11,27
21,21,2019-12-05,,HOU,L,109,119,38,88,.432,12,39,.308,21,24,.875,12,45,27,14,5,17,21,,40,98,.408,22,55,.400,17,19,.895,20,54,29,11,2,22,24
22,22,2019-12-08,@,PHI,L,104,110,38,88,.432,11,33,.333,17,20,.850,13,42,21,13,4,18,22,,40,79,.506,14,32,.438,16,21,.762,6,40,31,7,5,18,18
23,23,2019-12-09,@,CHI,W,93,92,34,90,.378,7,29,.241,18,26,.692,14,54,19,8,9,15,12,,35,89,.393,12,46,.261,10,14,.714,9,45,30,6,4,14,20
24,24,2019-12-11,,LAC,L,92,112,31,88,.352,8,36,.222,22,25,.880,15,47,21,10,8,18,24,,38,86,.442,12,40,.300,24,27,.889,12,50,29,8,5,18,21
