Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,,SAC,W,124,95,49,98,.500,11,33,.333,15,18,.833,9,44,31,13,9,14,25,,34,87,.391,10,29,.345,17,26,.654,12,47,17,5,5,26,24
2,2,2019-10-25,@,DEN,L,107,108,34,86,.395,8,28,.286,31,32,.969,10,54,25,5,1,17,35,,36,92,.391,7,27,.259,29,36,.806,8,45,21,7,12,14,26
3,3,2019-10-26,,LAC,W,130,122,43,86,.500,17,43,.395,27,34,.794,9,49,32,9,3,16,34,,40,87,.460,11,32,.344,31,39,.795,10,41,20,8,4,12,32
4,4,2019-10-28,,UTA,L,95,96,33,80,.413,13,34,.382,16,23,.696,3,40,23,7,3,16,31,,27,71,.380,10,31,.323,32,39,.821,6,49,19,8,5,23,26
5,5,2019-10-30,@,GSW,W,121,110,44,96,.458,15,36,.417,18,21,.857,13,45,33,12,4,16,22,,36,82,.439,8,28,.286,30,36,.833,7,43,24,8,6,18,22
6,6,2019-11-02,@,MEM,W,114,105,44,88,.500,14,34,.412,12,16,.750,4,32,26,9,2,17,20,,42,86,.488,9,28,.321,12,19,.632,13,46,26,9,8,20,23
7,7,2019-11-04,,PHI,W,114,109,41,77,.532,11,28,.393,21,27,.778,5,40,24,6,5,19,24,,42,89,.472,13,29,.448,12,20,.600,9,38,21,11,2,20,29
8,8,2019-11-07,,MIA,L,108,124,37,84,.440,11,32,.344,23,31,.742,10,40,22,4,3,14,21,,45,82,.549,15,28,.536,19,24,.792,5,41,22,9,5,13,28
9,9,2019-11-10,,BRK,W,138,112,52,99,.525,19,42,.452,15,19,.789,5,42,37,8,7,7,17,,44,91,.484,8,34,.235,16,17,.941,5,43,27,4,2,17,24
10,10,2019-11-12,,LAL,L,115,123,43,91,.473,16,38,.421,13,17,.765,6,39,32,3,4,11,22,,51,95,.537,10,25,.400,11,21,.524,8,44,39,4,4,9,21
11,11,2019-11-14,,ATL,W,128,112,41,85,.482,15,39,.385,31,38,.816,7,39,32,6,2,20,24,,40,91,.440,8,31,.258,24,30,.800,15,49,25,15,5,22,31
12,12,2019-11-18,,BOS,L,85,99,33,82,.402,10,36,.278,9,12,.750,8,45,22,7,6,19,17,,37,89,.416,12,41,.293,13,17,.765,11,52,22,12,5,17,21
13,13,2019-11-19,@,SAC,L,116,120,38,89,.427,12,36,.333,28,34,.824,14,39,24,11,4,10,20,,42,79,.532,13,31,.419,23,25,.920,8,43,28,7,7,18,26
14,14,2019-11-21,,NOP,L,121,124,40,86,.465,13,31,.419,28,32,.875,9,38,28,10,3,14,19,,47,88,.534,16,35,.457,14,22,.636,8,44,28,8,6,17,25
15,15,2019-11-23,@,MIN,W,100,98,33,96,.344,10,35,.286,24,26,.923,12,56,22,9,3,7,17,,38,91,.418,12,42,.286,10,17,.588,9,57,26,2,10,14,23
16,16,2019-11-24,@,DEN,L,104,116,41,82,.500,12,35,.343,10,12,.833,7,36,25,4,2,12,18,,43,91,.473,14,31,.452,16,23,.696,19,52,24,4,2,10,16
17,17,2019-11-27,,WAS,L,132,140,48,93,.516,15,38,.395,21,24,.875,12,40,29,7,6,15,21,,51,89,.573,19,35,.543,19,20,.950,4,34,32,9,5,14,20
18,18,2019-11-29,,DAL,L,113,120,41,93,.441,13,38,.342,18,25,.720,11,47,29,3,3,10,29,,35,85,.412,17,47,.362,33,38,.868,9,47,20,7,3,8,24
19,19,2019-12-02,@,CHO,W,109,104,39,88,.443,9,42,.214,22,30,.733,9,37,30,12,7,7,21,,38,84,.452,7,25,.280,21,26,.808,14,53,27,4,7,19,23
20,20,2019-12-04,@,ORL,L,114,128,43,88,.489,15,33,.455,13,20,.650,8,29,36,10,0,13,20,,49,85,.576,14,25,.560,16,20,.800,11,45,27,9,7,19,19
21,21,2019-12-05,@,NOP,W,139,132,50,106,.472,14,36,.389,25,27,.926,19,51,30,16,6,18,29,,44,87,.506,17,41,.415,27,35,.771,6,40,27,13,9,23,29
22,22,2019-12-07,@,HOU,L,109,115,40,96,.417,11,35,.314,18,28,.643,13,51,29,4,3,15,25,,41,91,.451,11,40,.275,22,30,.733,10,51,21,10,7,15,28
23,23,2019-12-09,,MIN,W,125,109,47,95,.495,16,40,.400,15,19,.789,12,42,31,5,5,9,23,,40,85,.471,6,22,.273,23,29,.793,11,45,14,6,7,16,23
24,24,2019-12-11,,MEM,L,108,115,37,93,.398,9,34,.265,25,30,.833,8,44,29,6,4,12,20,,42,87,.483,10,24,.417,21,26,.808,7,55,23,8,4,18,28
