Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,@,UTA,L,95,100,32,83,.386,10,27,.370,21,31,.677,7,48,15,5,4,13,23,,40,90,.444,6,24,.250,14,20,.700,11,49,15,4,5,11,31
2,2,2019-10-25,,WAS,L,85,97,33,83,.398,5,23,.217,14,22,.636,7,49,14,7,6,18,18,,39,97,.402,11,41,.268,8,10,.800,8,47,21,9,6,15,21
3,3,2019-10-27,,GSW,W,120,92,44,78,.564,15,32,.469,17,22,.773,8,50,24,8,5,23,26,,30,92,.326,5,33,.152,27,31,.871,12,39,17,13,2,14,15
4,4,2019-10-28,@,HOU,L,112,116,41,94,.436,13,35,.371,17,24,.708,16,52,22,7,3,13,27,,39,90,.433,10,44,.227,28,33,.848,9,40,21,6,6,14,24
5,5,2019-10-30,,POR,L,99,102,33,84,.393,4,27,.148,29,37,.784,13,55,15,8,2,18,21,,34,86,.395,17,35,.486,17,24,.708,9,49,19,9,8,17,30
6,6,2019-11-02,,NOP,W,115,104,41,90,.456,15,37,.405,18,23,.783,8,44,20,8,11,12,20,,40,94,.426,11,32,.344,13,22,.591,17,56,25,7,5,16,25
7,7,2019-11-05,,ORL,W,102,94,37,86,.430,12,33,.364,16,20,.800,7,38,21,9,5,9,23,,32,82,.390,3,22,.136,27,31,.871,16,53,15,5,8,14,24
8,8,2019-11-07,@,SAS,L,112,121,42,80,.525,10,21,.476,18,24,.750,4,31,26,7,2,13,14,,51,94,.543,9,20,.450,10,11,.909,12,47,32,5,3,13,21
9,9,2019-11-09,,GSW,W,114,108,43,79,.544,14,30,.467,14,17,.824,7,42,30,7,5,18,17,,42,85,.494,7,22,.318,17,17,1.000,6,34,22,9,6,15,18
10,10,2019-11-10,,MIL,L,119,121,45,91,.495,17,42,.405,12,17,.706,5,35,31,11,4,15,20,,47,83,.566,11,28,.393,16,18,.889,5,48,27,9,4,22,21
11,11,2019-11-12,@,IND,L,85,111,29,82,.354,6,25,.240,21,24,.875,9,40,19,9,4,15,16,,46,94,.489,7,23,.304,12,13,.923,11,50,21,6,4,14,20
12,12,2019-11-15,,PHI,W,127,119,41,76,.539,10,24,.417,35,41,.854,6,36,22,7,3,13,23,,45,90,.500,14,32,.438,15,22,.682,13,43,24,6,0,14,32
13,13,2019-11-18,@,LAC,L,88,90,28,75,.373,7,27,.259,25,28,.893,9,45,17,12,4,17,19,,35,87,.402,10,36,.278,10,14,.714,13,49,23,7,5,17,25
14,14,2019-11-19,@,LAL,L,107,112,38,80,.475,9,28,.321,22,25,.880,8,39,22,10,2,15,22,,43,89,.483,14,31,.452,12,19,.632,14,46,29,9,8,16,20
15,15,2019-11-22,,LAL,L,127,130,49,93,.527,11,31,.355,18,20,.900,6,37,28,8,3,11,23,,45,88,.511,17,31,.548,23,29,.793,11,45,32,7,6,15,20
16,16,2019-11-25,@,GSW,W,100,97,40,85,.471,11,32,.344,9,11,.818,9,43,26,5,13,15,16,,37,89,.416,9,20,.450,14,16,.875,9,41,27,10,7,12,17
17,17,2019-11-27,@,POR,L,119,136,39,88,.443,11,35,.314,30,38,.789,8,38,19,4,2,6,21,,49,94,.521,14,30,.467,24,24,1.000,10,54,23,3,1,9,32
18,18,2019-11-29,,NOP,W,109,104,43,90,.478,13,34,.382,10,16,.625,6,42,27,6,8,11,17,,39,87,.448,11,38,.289,15,21,.714,7,44,19,8,3,13,12
19,19,2019-12-01,@,NOP,W,107,104,38,81,.469,11,33,.333,20,26,.769,5,47,19,5,3,11,14,,39,87,.448,17,38,.447,9,10,.900,3,41,22,6,7,11,22
20,20,2019-12-04,,IND,L,100,107,41,84,.488,9,26,.346,9,10,.900,8,37,25,3,5,11,19,,42,87,.483,9,24,.375,14,17,.824,11,39,19,5,1,8,21
21,21,2019-12-06,,MIN,W,139,127,49,88,.557,5,18,.278,36,40,.900,9,39,19,8,9,10,20,,50,96,.521,13,38,.342,14,20,.700,10,36,25,8,2,13,29
22,22,2019-12-08,@,POR,W,108,96,35,85,.412,11,32,.344,27,34,.794,13,54,12,7,2,10,22,,36,100,.360,9,33,.273,15,18,.833,18,51,16,7,8,8,26
23,23,2019-12-09,@,UTA,W,104,90,40,85,.471,8,28,.286,16,19,.842,2,46,21,9,7,10,20,,36,89,.404,8,31,.258,10,12,.833,7,48,19,7,0,14,16
24,24,2019-12-11,@,SAC,L,93,94,34,79,.430,13,33,.394,12,18,.667,7,43,24,8,8,15,16,,39,88,.443,10,31,.323,6,10,.600,6,41,12,8,3,15,21
