Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-23,30-132,POR,,DEN,L (-8),1,26:03,6,7,.857,0,0,,4,4,1.000,5,14,19,0,0,2,4,4,16,17.0,0
2,2,2019-10-25,30-134,POR,@,SAC,W (+10),1,26:19,9,10,.900,0,0,,4,6,.667,2,7,9,3,1,1,2,2,22,22.3,+23
3,3,2019-10-27,30-136,POR,@,DAL,W (+2),1,25:41,2,4,.500,0,0,,2,2,1.000,2,12,14,0,0,1,3,6,6,4.3,-4
4,4,2019-10-28,30-137,POR,@,SAS,L (-3),1,24:05,4,9,.444,0,0,,0,0,,1,6,7,1,0,0,2,3,8,3.3,+1
5,5,2019-10-30,30-139,POR,@,OKC,W (+3),1,24:47,4,9,.444,0,0,,4,6,.667,5,7,12,0,2,2,2,4,12,11.9,-3
6,,2019-11-02,30-142,POR,,PHI,L (-1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6,2019-11-04,30-144,POR,@,GSW,L (-9),1,28:16,10,14,.714,0,0,,2,5,.400,5,6,11,0,0,2,1,2,22,19.9,-15
8,7,2019-11-07,30-147,POR,@,LAC,L (-6),1,27:29,7,18,.389,0,0,,3,4,.750,9,10,19,1,1,2,3,2,17,15.4,+1
9,8,2019-11-08,30-148,POR,,BRK,L (-4),1,34:20,4,10,.400,0,0,,2,2,1.000,4,11,15,1,0,5,0,2,10,14.1,-1
10,9,2019-11-10,30-150,POR,,ATL,W (+11),1,35:25,7,13,.538,0,0,,7,9,.778,4,8,12,1,0,3,2,3,21,18.7,+9
11,10,2019-11-12,30-152,POR,@,SAC,L (-8),1,20:37,7,9,.778,0,0,,3,4,.750,3,4,7,1,0,0,1,4,17,14.5,+4
12,11,2019-11-13,30-153,POR,,TOR,L (-8),1,29:40,6,12,.500,0,0,,0,0,,5,4,9,3,0,1,1,1,12,12.1,-6
13,12,2019-11-16,30-156,POR,@,SAS,W (+5),1,35:08,8,12,.667,0,0,,5,5,1.000,2,10,12,0,0,3,1,3,21,20.1,+9
14,13,2019-11-18,30-158,POR,@,HOU,L (-24),1,26:55,5,9,.556,0,0,,1,1,1.000,2,6,8,2,1,2,3,1,11,10.3,-18
15,14,2019-11-19,30-159,POR,@,NOP,L (-11),1,29:16,5,7,.714,0,0,,4,4,1.000,4,10,14,0,0,1,4,3,14,12.4,-3
16,,2019-11-21,30-161,POR,@,MIL,L (-8),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,,2019-11-23,30-163,POR,@,CLE,L (-6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,15,2019-11-25,30-165,POR,@,CHI,W (+23),1,22:55,6,8,.750,0,0,,1,2,.500,3,9,12,1,1,2,2,3,13,14.1,+15
19,16,2019-11-27,30-167,POR,,OKC,W (+17),1,22:27,8,13,.615,0,0,,5,5,1.000,2,14,16,1,0,0,1,2,21,19.6,+23
20,17,2019-11-29,30-169,POR,,CHI,W (+4),1,29:58,4,11,.364,0,0,,0,3,.000,4,11,15,1,1,10,2,5,8,11.5,-1
21,18,2019-12-03,30-173,POR,@,LAC,L (-20),1,25:36,8,12,.667,0,0,,2,3,.667,6,7,13,0,0,1,4,4,18,13.8,-11
22,19,2019-12-04,30-174,POR,,SAC,W (+11),1,33:32,8,10,.800,0,0,,6,8,.750,1,15,16,7,0,3,2,3,22,26.4,+7
23,20,2019-12-06,30-176,POR,,LAL,L (-23),1,32:05,8,12,.667,0,0,,1,2,.500,3,7,10,2,3,1,1,3,17,18.5,-26
24,21,2019-12-08,30-178,POR,,OKC,L (-12),1,31:56,6,8,.750,0,0,,2,2,1.000,5,5,10,3,0,5,1,2,14,19.6,-7
25,22,2019-12-10,30-180,POR,,NYK,W (+28),1,25:38,7,11,.636,0,0,,3,3,1.000,4,11,15,2,0,5,1,1,17,21.7,+28
26,23,2019-12-12,30-182,POR,@,DEN,L (-15),1,35:07,15,21,.714,1,1,1.000,2,2,1.000,3,8,11,2,0,4,0,5,33,31.0,-3
