Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-23,21-185,BRK,,MIN,L (-1),1,36:22,3,6,.500,0,0,,0,4,.000,3,6,9,1,1,5,0,4,6,8.9,+11
2,2,2019-10-25,21-187,BRK,,NYK,W (+4),1,25:12,2,6,.333,0,0,,0,0,,3,8,11,2,1,0,2,2,4,4.7,-5
3,3,2019-10-27,21-189,BRK,@,MEM,L (-1),0,27:29,5,6,.833,0,0,,4,4,1.000,4,9,13,1,0,0,2,2,14,15.2,+8
4,4,2019-10-30,21-192,BRK,,IND,L (-10),0,21:40,3,5,.600,0,0,,2,3,.667,4,4,8,1,0,2,2,1,8,9.0,-9
5,5,2019-11-01,21-194,BRK,,HOU,W (+7),1,31:02,3,3,1.000,0,0,,1,4,.250,2,8,10,1,0,2,2,1,7,8.4,+29
6,6,2019-11-02,21-195,BRK,@,DET,L (-4),0,18:02,3,7,.429,0,0,,1,2,.500,4,3,7,0,0,0,0,1,7,6.2,+3
7,7,2019-11-04,21-197,BRK,,NOP,W (+10),1,30:03,7,8,.875,0,0,,4,7,.571,4,6,10,1,1,0,3,3,18,16.1,+12
8,8,2019-11-08,21-201,BRK,@,POR,W (+4),1,35:46,4,8,.500,0,0,,4,8,.500,3,6,9,1,1,5,0,2,12,14.7,0
9,9,2019-11-10,21-203,BRK,@,PHO,L (-26),1,11:55,1,2,.500,0,0,,3,4,.750,1,1,2,0,0,0,4,5,5,-1.4,-20
10,10,2019-11-12,21-205,BRK,@,UTA,L (-5),1,17:34,1,2,.500,0,0,,2,2,1.000,2,5,7,1,0,2,2,6,4,3.6,-14
11,11,2019-11-14,21-207,BRK,@,DEN,L (-8),1,29:51,7,10,.700,0,1,.000,3,5,.600,1,9,10,0,0,1,0,0,17,16.1,-6
12,12,2019-11-16,21-209,BRK,@,CHI,W (+6),1,21:43,5,5,1.000,0,0,,1,1,1.000,1,6,7,2,2,2,0,2,11,16.0,+6
13,13,2019-11-18,21-211,BRK,,IND,L (-29),1,24:10,4,7,.571,0,0,,2,4,.500,2,10,12,1,0,1,0,1,10,11.3,-8
14,14,2019-11-20,21-213,BRK,,CHO,W (+10),1,27:34,9,12,.750,0,0,,4,6,.667,8,9,17,0,2,0,2,4,22,23.1,+10
15,15,2019-11-22,21-215,BRK,,SAC,W (+19),1,25:19,5,6,.833,0,0,,1,2,.500,1,8,9,1,1,1,1,2,11,12.1,+8
16,16,2019-11-24,21-217,BRK,@,NYK,W (+2),1,31:44,5,9,.556,0,0,,8,11,.727,4,6,10,1,1,0,0,2,18,18.0,+5
17,17,2019-11-25,21-218,BRK,@,CLE,W (+2),1,34:17,9,10,.900,0,0,,4,5,.800,9,12,21,3,2,2,0,2,22,32.8,+7
18,18,2019-11-27,21-220,BRK,@,BOS,L (-11),1,29:40,6,8,.750,0,0,,5,12,.417,5,9,14,3,0,1,1,3,17,17.8,-7
19,19,2019-11-29,21-222,BRK,,BOS,W (+5),1,25:18,7,12,.583,0,0,,0,2,.000,4,7,11,1,1,1,2,4,14,11.3,+14
20,20,2019-12-01,21-224,BRK,,MIA,L (-3),1,24:22,1,3,.333,0,0,,2,2,1.000,3,9,12,2,0,0,0,5,4,6.5,-1
21,21,2019-12-04,21-227,BRK,@,ATL,W (+12),1,28:55,8,11,.727,0,0,,4,4,1.000,7,6,13,2,2,3,1,3,20,25.5,+6
22,22,2019-12-06,21-229,BRK,@,CHO,W (+7),1,22:07,7,10,.700,0,0,,0,0,,4,6,10,0,2,2,2,2,14,15.0,+6
23,23,2019-12-08,21-231,BRK,,DEN,W (+3),1,29:45,7,13,.538,0,0,,5,8,.625,6,5,11,2,1,0,2,0,19,17.6,+10
24,24,2019-12-11,21-234,BRK,,CHO,L (-5),1,26:11,7,9,.778,0,0,,7,11,.636,6,4,10,2,0,1,0,3,21,22.2,0
25,25,2019-12-14,21-237,BRK,@,TOR,L (-8),1,25:11,3,3,1.000,0,0,,1,2,.500,1,9,10,1,0,1,1,2,7,8.7,-12
26,26,2019-12-15,21-238,BRK,,PHI,W (+20),1,21:59,3,9,.333,0,0,,2,2,1.000,4,4,8,1,0,0,0,1,8,7.2,+11
