Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-23,25-221,PHI,,BOS,W (+14),1,23:15,5,14,.357,1,4,.250,4,8,.500,4,9,13,3,0,3,0,5,15,13.3,+16
2,,2019-10-26,25-224,PHI,@,DET,W (+6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,2019-10-28,25-226,PHI,@,ATL,W (+2),1,32:43,12,19,.632,2,6,.333,10,10,1.000,3,10,13,5,3,1,7,5,36,30.8,+9
4,3,2019-10-30,25-228,PHI,,MIN,W (+22),1,20:02,7,14,.500,1,1,1.000,4,4,1.000,1,4,5,2,1,1,1,2,19,15.2,+7
5,,2019-11-02,25-231,PHI,@,POR,W (+1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,,2019-11-04,25-233,PHI,@,PHO,L (-5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,4,2019-11-06,25-235,PHI,@,UTA,L (-2),1,35:50,5,16,.313,1,5,.200,16,18,.889,4,12,16,3,0,2,3,5,27,21.9,+7
8,5,2019-11-08,25-237,PHI,@,DEN,L (-3),1,28:30,6,17,.353,2,4,.500,5,7,.714,5,10,15,2,0,1,8,6,19,6.9,-10
9,6,2019-11-10,25-239,PHI,,CHO,W (+8),1,25:48,6,10,.600,0,1,.000,6,7,.857,2,7,9,3,2,2,2,2,18,19.2,+11
10,7,2019-11-12,25-241,PHI,,CLE,W (+1),1,35:05,10,20,.500,3,5,.600,4,5,.800,2,14,16,4,1,2,2,2,27,24.6,+1
11,,2019-11-13,25-242,PHI,@,ORL,L (-15),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,8,2019-11-15,25-244,PHI,@,OKC,L (-8),1,37:38,12,24,.500,4,8,.500,3,6,.500,2,10,12,2,1,0,1,4,31,22.0,-10
13,9,2019-11-17,25-246,PHI,@,CLE,W (+19),1,22:31,6,13,.462,0,2,.000,2,2,1.000,1,3,4,2,1,1,2,3,14,8.8,+14
14,10,2019-11-20,25-249,PHI,,NYK,W (+5),1,33:39,7,19,.368,1,7,.143,8,12,.667,2,10,12,5,0,1,3,3,23,15.3,+10
15,11,2019-11-22,25-251,PHI,,SAS,W (+11),1,27:36,9,13,.692,0,2,.000,3,4,.750,3,11,14,3,1,1,4,4,21,18.7,+13
16,12,2019-11-23,25-252,PHI,,MIA,W (+27),1,25:43,8,15,.533,2,3,.667,5,5,1.000,3,8,11,2,2,2,2,2,23,22.2,+28
17,13,2019-11-25,25-254,PHI,@,TOR,L (-5),1,31:57,0,11,.000,0,4,.000,0,3,.000,3,10,13,2,0,0,4,5,0,-8.4,-9
18,14,2019-11-27,25-256,PHI,,SAC,W (+6),1,32:19,10,19,.526,1,4,.250,12,14,.857,4,12,16,1,0,2,3,0,33,28.4,+5
19,15,2019-11-29,25-258,PHI,@,NYK,W (+6),1,35:27,7,19,.368,0,4,.000,13,15,.867,3,14,17,2,0,3,3,4,27,20.9,+12
20,16,2019-11-30,25-259,PHI,,IND,W (+3),1,33:16,8,15,.533,1,2,.500,15,15,1.000,1,10,11,4,3,1,2,3,32,31.7,+8
21,17,2019-12-02,25-261,PHI,,UTA,W (+9),1,29:54,5,13,.385,1,2,.500,5,6,.833,1,10,11,4,1,1,2,5,16,12.7,-1
22,18,2019-12-05,25-264,PHI,@,WAS,L (-6),1,35:10,7,12,.583,1,2,.500,11,14,.786,3,18,21,1,0,1,8,4,26,18.5,+1
23,,2019-12-07,25-266,PHI,,CLE,W (+47),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,19,2019-12-08,25-267,PHI,,TOR,W (+6),1,30:29,3,7,.429,0,1,.000,4,6,.667,1,7,8,6,1,1,7,2,10,6.4,-4
25,20,2019-12-10,25-269,PHI,,DEN,W (+5),1,31:06,8,18,.444,0,3,.000,6,7,.857,2,8,10,6,2,1,4,3,22,17.7,-8
26,21,2019-12-12,25-271,PHI,@,BOS,W (+6),1,36:05,12,21,.571,2,3,.667,12,14,.857,2,11,13,6,0,1,2,3,38,33.7,+21
27,22,2019-12-13,25-272,PHI,,NOP,W (+7),1,31:03,6,16,.375,1,3,.333,11,14,.786,1,10,11,5,1,1,2,5,24,18.9,+3
28,,2019-12-15,25-274,PHI,@,BRK,L (-20),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
