Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-23,27-170,MEM,@,MIA,L (-19),1,16:09,3,7,.429,0,2,.000,1,2,.500,0,1,1,1,1,1,3,5,7,0.6,-19
2,2,2019-10-25,27-172,MEM,,CHI,L (-8),1,18:28,4,10,.400,0,0,,2,2,1.000,4,9,13,0,0,0,2,1,10,7.7,+2
3,3,2019-10-27,27-174,MEM,,BRK,W (+1),1,19:42,5,11,.455,3,5,.600,3,3,1.000,1,10,11,4,1,2,0,1,16,18.8,+10
4,4,2019-10-29,27-176,MEM,@,LAL,L (-29),1,22:46,5,10,.500,0,2,.000,4,4,1.000,3,8,11,2,0,0,2,3,14,11.7,-2
5,5,2019-11-02,27-180,MEM,,PHO,L (-9),1,24:10,6,9,.667,1,1,1.000,0,0,,3,4,7,2,0,0,3,3,13,9.6,-6
6,6,2019-11-04,27-182,MEM,,HOU,L (-7),1,23:49,4,11,.364,0,1,.000,2,2,1.000,1,9,10,3,0,1,1,3,10,7.9,-2
7,7,2019-11-06,27-184,MEM,,MIN,W (+16),1,27:10,5,9,.556,0,0,,0,0,,2,12,14,4,0,0,3,2,10,9.7,+4
8,8,2019-11-08,27-186,MEM,@,ORL,L (-32),1,21:56,6,11,.545,2,4,.500,1,1,1.000,0,9,9,0,0,0,4,1,15,8.0,-16
9,9,2019-11-09,27-187,MEM,,DAL,L (-16),1,23:18,3,11,.273,0,4,.000,4,4,1.000,1,2,3,3,0,1,1,2,10,5.8,-24
10,10,2019-11-11,27-189,MEM,@,SAS,W (+4),1,27:19,9,12,.750,0,1,.000,0,0,,3,9,12,1,0,2,2,4,18,16.5,+7
11,11,2019-11-13,27-191,MEM,@,CHO,W (+2),1,23:00,9,13,.692,0,0,,0,0,,5,8,13,2,0,1,4,3,18,15.3,+10
12,12,2019-11-15,27-193,MEM,,UTA,W (+1),1,29:51,4,6,.667,0,1,.000,2,2,1.000,1,7,8,2,0,1,2,3,10,9.1,+10
13,13,2019-11-17,27-195,MEM,,DEN,L (-17),1,22:18,6,10,.600,2,3,.667,2,2,1.000,2,8,10,0,0,0,3,1,16,11.8,-6
14,14,2019-11-19,27-197,MEM,,GSW,L (-19),1,26:29,3,7,.429,0,0,,1,1,1.000,3,3,6,3,0,0,1,5,7,5.4,-8
15,15,2019-11-23,27-201,MEM,,LAL,L (-1),1,25:14,2,3,.667,0,0,,0,0,,1,5,6,2,1,0,2,2,4,4.5,-11
16,16,2019-11-25,27-203,MEM,@,IND,L (-12),1,26:10,7,12,.583,0,1,.000,0,2,.000,2,8,10,0,1,3,3,4,14,9.9,-17
17,17,2019-11-27,27-205,MEM,,LAC,L (-2),1,33:59,12,17,.706,2,3,.667,4,5,.800,7,9,16,3,1,1,2,1,30,31.5,+14
18,18,2019-11-29,27-207,MEM,,UTA,L (-9),1,31:48,10,17,.588,0,2,.000,2,3,.667,8,9,17,2,0,3,1,3,22,23.3,-14
19,,2019-12-01,27-209,MEM,@,MIN,W (+8),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,,2019-12-02,27-210,MEM,,IND,L (-13),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,19,2019-12-04,27-212,MEM,@,CHI,L (-7),1,28:53,12,17,.706,0,0,,8,10,.800,4,9,13,1,3,1,3,4,32,29.4,+5
22,20,2019-12-07,27-215,MEM,@,UTA,L (-14),1,20:45,5,5,1.000,0,0,,0,2,.000,2,4,6,2,0,1,3,4,10,7.8,-16
23,21,2019-12-09,27-217,MEM,@,GSW,W (+8),1,27:16,5,7,.714,2,2,1.000,1,3,.333,1,9,10,4,0,0,3,6,13,10.1,+3
24,22,2019-12-11,27-219,MEM,@,PHO,W (+7),1,25:13,3,9,.333,0,0,,0,0,,1,8,9,1,0,0,1,2,6,2.9,-10
25,23,2019-12-13,27-221,MEM,,MIL,L (-13),1,19:25,3,10,.300,1,1,1.000,1,2,.500,2,4,6,2,0,0,1,2,8,4.0,-2
26,24,2019-12-14,27-222,MEM,,WAS,W (+17),1,28:44,3,6,.500,0,1,.000,0,0,,5,7,12,0,1,2,6,3,6,3.8,+11
