"","game","team","ORB","DRB","TRB","sum_rb","player"
"1",1,"DET",7,16,23,23,"Andre Drummond"
"2",2,"DET",1,11,12,35,"Andre Drummond"
"3",3,"DET",3,9,12,47,"Andre Drummond"
"4",4,"DET",4,14,18,65,"Andre Drummond"
"5",5,"DET",8,14,22,87,"Andre Drummond"
"6",6,"DET",6,18,24,111,"Andre Drummond"
"7",7,"DET",3,17,20,131,"Andre Drummond"
"8",8,"DET",8,16,24,155,"Andre Drummond"
"9",9,"DET",4,8,12,167,"Andre Drummond"
"10",10,"DET",1,12,13,180,"Andre Drummond"
"11",11,"DET",8,4,12,192,"Andre Drummond"
"12",12,"DET",4,5,9,201,"Andre Drummond"
"13",13,"DET",3,17,20,221,"Andre Drummond"
"14",14,"DET",2,12,14,235,"Andre Drummond"
"15",15,"DET",8,7,15,250,"Andre Drummond"
"16",16,"DET",3,14,17,267,"Andre Drummond"
"17",17,"DET",3,15,18,285,"Andre Drummond"
"18",18,"DET",3,18,21,306,"Andre Drummond"
"19",19,"DET",8,11,19,325,"Andre Drummond"
"20",20,"DET",6,10,16,341,"Andre Drummond"
"21",21,"DET",4,10,14,355,"Andre Drummond"
"22",22,"DET",5,9,14,369,"Andre Drummond"
"23",23,"DET",7,15,22,391,"Andre Drummond"
"24",24,"DET",4,6,10,401,"Andre Drummond"
"25",25,"DET",2,13,15,416,"Andre Drummond"
"26",26,"DET",NA,NA,NA,416,"Andre Drummond"
"27",1,"HOU",0,12,12,12,"Clint Capela"
"28",2,"HOU",2,4,6,18,"Clint Capela"
"29",3,"HOU",2,5,7,25,"Clint Capela"
"30",4,"HOU",5,7,12,37,"Clint Capela"
"31",5,"HOU",0,4,4,41,"Clint Capela"
"32",6,"HOU",0,7,7,48,"Clint Capela"
"33",7,"HOU",6,7,13,61,"Clint Capela"
"34",8,"HOU",5,11,16,77,"Clint Capela"
"35",9,"HOU",5,15,20,97,"Clint Capela"
"36",10,"HOU",5,15,20,117,"Clint Capela"
"37",11,"HOU",2,18,20,137,"Clint Capela"
"38",12,"HOU",NA,NA,NA,137,"Clint Capela"
"39",13,"HOU",NA,NA,NA,137,"Clint Capela"
"40",14,"HOU",5,15,20,157,"Clint Capela"
"41",15,"HOU",4,17,21,178,"Clint Capela"
"42",16,"HOU",5,14,19,197,"Clint Capela"
"43",17,"HOU",10,13,23,220,"Clint Capela"
"44",18,"HOU",NA,NA,NA,220,"Clint Capela"
"45",19,"HOU",NA,NA,NA,220,"Clint Capela"
"46",20,"HOU",8,13,21,241,"Clint Capela"
"47",21,"HOU",9,4,13,254,"Clint Capela"
"48",22,"HOU",3,7,10,264,"Clint Capela"
"49",23,"HOU",6,11,17,281,"Clint Capela"
"50",24,"HOU",5,8,13,294,"Clint Capela"
"51",25,"HOU",3,8,11,305,"Clint Capela"
"52",26,"HOU",4,15,19,324,"Clint Capela"
"53",1,"BRK",1,2,3,3,"DeAndre Jordan"
"54",2,"BRK",4,7,11,14,"DeAndre Jordan"
"55",3,"BRK",1,11,12,26,"DeAndre Jordan"
"56",4,"BRK",7,10,17,43,"DeAndre Jordan"
"57",5,"BRK",2,5,7,50,"DeAndre Jordan"
"58",6,"BRK",1,9,10,60,"DeAndre Jordan"
"59",7,"BRK",0,5,5,65,"DeAndre Jordan"
"60",8,"BRK",NA,NA,NA,65,"DeAndre Jordan"
"61",9,"BRK",1,11,12,77,"DeAndre Jordan"
"62",10,"BRK",5,12,17,94,"DeAndre Jordan"
"63",11,"BRK",1,10,11,105,"DeAndre Jordan"
"64",12,"BRK",2,5,7,112,"DeAndre Jordan"
"65",13,"BRK",1,2,3,115,"DeAndre Jordan"
"66",14,"BRK",0,7,7,122,"DeAndre Jordan"
"67",15,"BRK",5,5,10,132,"DeAndre Jordan"
"68",16,"BRK",2,3,5,137,"DeAndre Jordan"
"69",17,"BRK",NA,NA,NA,137,"DeAndre Jordan"
"70",18,"BRK",NA,NA,NA,137,"DeAndre Jordan"
"71",19,"BRK",3,8,11,148,"DeAndre Jordan"
"72",20,"BRK",2,6,8,156,"DeAndre Jordan"
"73",21,"BRK",1,8,9,165,"DeAndre Jordan"
"74",22,"BRK",5,8,13,178,"DeAndre Jordan"
"75",23,"BRK",1,5,6,184,"DeAndre Jordan"
"76",24,"BRK",6,8,14,198,"DeAndre Jordan"
"77",25,"BRK",6,7,13,211,"DeAndre Jordan"
"78",26,"BRK",5,6,11,222,"DeAndre Jordan"
"79",1,"IND",5,8,13,13,"Domantas Sabonis"
"80",2,"IND",0,5,5,18,"Domantas Sabonis"
"81",3,"IND",4,10,14,32,"Domantas Sabonis"
"82",4,"IND",3,5,8,40,"Domantas Sabonis"
"83",5,"IND",3,14,17,57,"Domantas Sabonis"
"84",6,"IND",NA,NA,NA,57,"Domantas Sabonis"
"85",7,"IND",NA,NA,NA,57,"Domantas Sabonis"
"86",8,"IND",4,13,17,74,"Domantas Sabonis"
"87",9,"IND",4,10,14,88,"Domantas Sabonis"
"88",10,"IND",3,13,16,104,"Domantas Sabonis"
"89",11,"IND",7,9,16,120,"Domantas Sabonis"
"90",12,"IND",3,10,13,133,"Domantas Sabonis"
"91",13,"IND",6,8,14,147,"Domantas Sabonis"
"92",14,"IND",5,13,18,165,"Domantas Sabonis"
"93",15,"IND",3,6,9,174,"Domantas Sabonis"
"94",16,"IND",3,10,13,187,"Domantas Sabonis"
